#Region,Chromosome,Start_position,End_position,Pass_or_flag,Read count,Median coverage,Minimum coverage,Median quality coverage,Minimum quality coverage,Maximum fraction of low mapping quality,Maximum fraction of low base quality
chr13_q12.2_002_rs1237710,chr13,28003302,28003422,FLAG,31,26.0,14,26.0,14,0.0,0.12
chr13_q12.2_003_rs4769562,chr13,28238009,28238129,FLAG,27,25.0,13,24.5,12,0.0,0.167
chr13_q12.2_004_rs35490831,chr13,28431445,28431565,FLAG,38,34.0,15,34.0,14,0.0,0.077
chr13_q12.2_005_rs3829382,chr13,28577628,28577748,FLAG,28,24.0,19,24.0,18,0.0,0.115
chr13_q12.3_001_rs554721171;rs572080172;rs146773412,chr13,28949463,28949583,FLAG,11,11.0,5,10.5,5,0.0,0.25
chr13_q12.3_002_rs7326455,chr13,29148217,29148337,FLAG,63,55.5,25,55.5,23,0.0,0.115
chr13_q12.3_003_rs947249,chr13,29352355,29352475,FLAG,51,44.0,13,44.0,13,0.061,0.122
chr13_q12.3_004_rs2146140,chr13,29646487,29646607,FLAG,32,27.0,9,27.0,9,0.0,0.091
chr13_q12.3_005_rs7327342,chr13,29889754,29889874,FLAG,32,26.0,9,26.0,8,0.0,0.111
chr13_q12.3_006_rs3840002,chr13,30086046,30086166,FLAG,16,16.0,8,16.0,8,0.0,0.067
chr13_q12.3_007_rs147036451,chr13,30344900,30345020,FLAG,6,6.0,3,6.0,3,0.0,0.2
chr13_q12.3_008_rs11370285,chr13,30548603,30548723,FLAG,36,31.0,10,31.0,10,0.0,0.125
chr13_q12.3_009_rs729973,chr13,30753916,30754036,FLAG,11,10.0,1,10.0,1,0.0,0.333
chr13_q12.3_010_rs1412125,chr13,31041535,31041655,FLAG,13,12.0,10,12.0,9,0.0,0.1
chr13_q12.3_011_rs3803277,chr13,31318248,31318368,FLAG,57,47.0,28,47.0,28,0.0,0.07
chr13_q12.3_012_rs6563504,chr13,31485681,31485801,FLAG,10,7.0,3,7.0,3,0.0,0.143
chr13_q12.3_013_rs569382031;rs562378103;rs545157484;rs544484782,chr13,31722560,31722680,FLAG,23,21.0,11,20.0,11,0.0,0.238
chr13_q12.3_014_rs4551900,chr13,31943716,31943836,FLAG,28,27.0,8,27.0,8,0.0,0.111
chr13_q12.3_015_rs536917,chr13,32096701,32096821,FLAG,25,21.0,15,20.5,15,0.0,0.105
chr13_q13.1_001_rs6563839,chr13,32397384,32397504,FLAG,28,26.0,13,25.0,12,0.0,0.077
chr13_q13.1_002_rs34132802,chr13,32628501,32628621,FLAG,20,20.0,11,20.0,11,0.0,0.053
chr13_q13.1_003_rs565605441,chr13,32870690,32870810,FLAG,25,25.0,17,25.0,15,0.0,0.12
chr13_q13.1_004_rs34896034,chr13,33065077,33065197,FLAG,20,20.0,8,19.0,7,0.0,0.15
chr13_q13.1_005_rs411612,chr13,33553311,33553431,FLAG,42,35.0,26,35.0,25,0.0,0.063
chr13_q13.1_006_rs211244,chr13,33563728,33563848,FLAG,18,18.0,7,17.0,6,0.0,0.222
chr13_q13.1_007_rs368587716,chr13,33789196,33789316,FLAG,9,6.0,3,6.0,3,0.0,0.167
chr13_q13.2_001_rs9537546,chr13,34039898,34040018,FLAG,4,4.0,1,4.0,1,0.0,0.0
chr13_q13.2_002_rs4943131,chr13,34262182,34262302,FLAG,18,18.0,7,18.0,7,0.0,0.111
chr13_q13.2_003_rs1410650,chr13,34606369,34606489,FLAG,39,34.0,8,34.0,8,0.0,0.056
chr13_q13.2_004_rs6562331,chr13,34725376,34725496,FLAG,20,19.0,3,18.5,3,0.0,0.286
chr13_q13.2_005_rs562758211,chr13,34947188,34947308,FLAG,30,30.0,19,29.0,19,0.0,0.133
chr13_q13.2_006_rs1329313,chr13,35193962,35194082,FLAG,17,16.0,10,16.0,10,0.0,0.125
chr13_q13.2_007_rs4245374,chr13,35428402,35428522,FLAG,37,32.0,10,31.0,9,0.0,0.1
chr13_q13.3_001_rs1444899,chr13,35664704,35664824,FLAG,12,11.0,8,11.0,8,0.0,0.111
chr13_q13.3_002_rs374363228,chr13,35963110,35963230,FLAG,37,35.0,26,33.0,25,0.0,0.171
chr13_q13.3_003_rs7325781,chr13,36080670,36080790,FLAG,26,23.0,11,23.0,11,0.0,0.28
chr13_q13.3_004_rs561337992;rs57750199,chr13,36375535,36375655,FLAG,9,9.0,5,9.0,4,0.0,0.25
chr13_q13.3_005_rs9546227,chr13,36615893,36616013,FLAG,10,10.0,6,10.0,6,0.0,0.125
chr13_q13.3_006_rs1184037,chr13,36825252,36825372,FLAG,42,38.0,8,37.0,8,0.0,0.091
chr13_q13.3_007_rs1517894,chr13,37102207,37102327,FLAG,12,10.0,6,9.5,6,0.0,0.182
chr13_q13.3_008_rs1517892,chr13,37264278,37264398,FLAG,29,25.0,17,25.0,17,0.0,0.071
chr13_q13.3_009_rs9576135,chr13,37482099,37482219,FLAG,63,55.0,21,55.0,21,0.0,0.077
chr13_q13.3_010_rs6563522,chr13,37843210,37843330,FLAG,31,26.0,7,26.0,7,0.0,0.077
chr13_q13.3_011_rs9532043,chr13,37955938,37956058,FLAG,38,32.0,12,31.5,12,0.0,0.053
chr13_q13.3_012_rs57015970,chr13,38212304,38212424,FLAG,12,12.0,8,12.0,8,0.0,0.167
chr13_q13.3_013_rs9548086,chr13,38439692,38439812,FLAG,12,12.0,6,12.0,6,0.0,0.143
chr13_q13.3_014_rs9532152,chr13,38635154,38635274,FLAG,27,22.0,14,22.0,14,0.0,0.067
chr13_q13.3_015_rs11327242,chr13,38913087,38913207,FLAG,39,35.0,15,34.0,15,0.0,0.167
chr13_q13.3_016_rs2875193,chr13,39023150,39023270,FLAG,34,30.0,15,30.0,15,0.0,0.129
chr13_q13.3_017_rs2496406,chr13,39356447,39356567,FLAG,12,12.0,5,12.0,5,0.0,0.083
chr13_q13.3_018_rs4494418,chr13,39526532,39526652,FLAG,35,32.0,23,31.0,21,0.0,0.087
chr13_q13.3_019_rs885145,chr13,39817958,39818078,FLAG,22,18.0,10,18.0,10,0.0,0.091
chr13_q13.3_020_rs9576811,chr13,40045585,40045705,FLAG,20,19.5,12,19.0,12,0.0,0.1
chr13_q14.11_001_rs9532420,chr13,40279029,40279149,FLAG,7,7.0,6,7.0,5,0.0,0.167
chr13_q14.11_002_rs9548998,chr13,40509978,40510098,FLAG,18,18.0,3,18.0,3,0.0,0.167
chr13_q14.11_003_rs7989971,chr13,40744039,40744159,FLAG,19,18.0,12,18.0,12,0.0,0.105
chr13_q14.11_004_rs9549200,chr13,40976189,40976309,FLAG,33,29.0,19,29.0,19,0.0,0.185
chr13_q14.11_005_rs4943805,chr13,41270020,41270140,FLAG,15,14.0,6,14.0,6,0.0,0.143
chr13_q14.11_006_rs2004000,chr13,41383455,41383575,FLAG,34,31.0,13,31.0,13,0.0,0.212
chr13_q14.11_007_rs552180537,chr13,41928962,41929082,FLAG,15,14.0,10,14.0,10,0.0,0.133
chr13_q14.11_008_rs9532889,chr13,42115057,42115177,FLAG,14,14.0,7,13.0,7,0.0,0.143
chr13_q14.11_009_rs2039281,chr13,42314843,42314963,FLAG,15,13.0,6,13.0,6,0.0,0.0
chr13_q14.11_010_rs113943093,chr13,42582674,42582794,FLAG,13,10.0,4,9.5,3,0.0,0.25
chr13_q14.11_011_rs956574,chr13,42834675,42834795,FLAG,13,13.0,6,13.0,6,0.0,0.111
chr13_q14.11_012_rs9315923,chr13,43070834,43070954,FLAG,16,14.0,5,14.0,5,0.0,0.071
chr13_q14.11_013_rs2057483,chr13,43303980,43304100,FLAG,12,11.0,8,11.0,6,0.0,0.333
chr13_q14.11_014_rs7331446,chr13,43508968,43509088,FLAG,2,2.0,1,2.0,1,0.0,0.5
chr13_q14.11_015_rs1008913,chr13,43729768,43729888,FLAG,46,41.0,24,41.0,23,0.0,0.049
chr13_q14.11_016_rs7329258,chr13,43944699,43944819,FLAG,18,17.0,9,17.0,8,0.0,0.412
chr13_q14.11_017_rs4942242,chr13,44217004,44217124,FLAG,15,14.0,6,14.0,6,0.0,0.1
chr13_q14.11_018_rs2121030,chr13,44444514,44444634,FLAG,16,14.0,7,14.0,7,0.0,0.091
chr13_q14.11_019_rs57667762,chr13,44640255,44640375,FLAG,28,26.0,8,24.5,8,0.0,0.231
chr13_q14.11_020_rs582369,chr13,44907534,44907654,FLAG,51,42.0,29,42.0,29,0.0,0.095
chr13_q14.11_021_rs9533888,chr13,45093410,45093530,FLAG,8,8.0,4,8.0,4,0.0,0.125
chr13_q14.12_001_rs1984191,chr13,45371513,45371633,FLAG,46,37.0,22,37.0,22,0.0,0.054
chr13_q14.12_002_rs7318055,chr13,45474813,45474933,FLAG,23,21.0,10,21.0,10,0.0,0.133
chr13_q14.13_001_rs34166600,chr13,45951382,45951502,FLAG,0,0.0,0,0.0,0,.,.
chr13_q14.13_002_rs2985983,chr13,46098132,46098252,FLAG,19,18.0,12,18.0,12,0.0,0.167
chr13_q14.13_003_rs8002139,chr13,46308855,46308975,FLAG,35,32.0,15,32.0,14,0.0,0.067
chr13_q14.13_004_rs2573264,chr13,46510454,46510574,FLAG,28,23.0,15,22.5,15,0.0,0.08
chr13_q14.13_005_rs2224777,chr13,46758005,46758125,FLAG,18,16.0,11,16.0,11,0.0,0.071
chr13_q14.13_006_rs28683029,chr13,46993823,46993943,FLAG,20,20.0,5,19.0,4,0.0,0.45
chr13_q14.13_007_rs842408,chr13,47228037,47228157,FLAG,14,14.0,5,14.0,5,0.0,0.091
chr13_q14.2_001_rs985933,chr13,47455803,47455923,FLAG,40,35.5,20,35.5,20,0.0,0.097
chr13_q14.2_002_rs7329703,chr13,47694741,47694861,FLAG,20,17.5,8,17.5,8,0.0,0.063
chr13_q14.2_003_rs7329520,chr13,47905560,47905680,FLAG,26,21.0,10,21.0,9,0.0,0.1
chr13_q14.2_004_rs1359661,chr13,48131785,48131905,FLAG,21,19.0,11,19.0,11,0.0,0.0
chr13_q14.2_005_rs11330359,chr13,48421341,48421461,FLAG,14,12.0,4,12.0,4,0.0,0.083
chr13_q14.2_006_rs11396418,chr13,48439784,48439904,FLAG,42,39.0,15,38.0,15,0.0,0.086
chr13_q14.2_007_rs9595961,chr13,49253911,49254031,FLAG,24,19.0,13,19.0,13,0.0,0.083
chr13_q14.2_008_rs9535119,chr13,49532912,49533032,FLAG,24,21.0,6,21.0,6,0.0,0.053
chr13_q14.2_009_rs7333285,chr13,49761974,49762094,FLAG,15,12.0,6,12.0,6,0.0,0.143
chr13_q14.2_010_rs9535237,chr13,49994885,49995005,FLAG,8,7.0,3,7.0,2,0.0,0.333
chr13_q14.2_011_rs1535544,chr13,50260107,50260227,FLAG,47,39.0,21,39.0,21,0.0,0.061
chr13_q14.2_012_rs706610,chr13,50715674,50715794,FLAG,14,11.0,6,11.0,6,0.0,0.071
chr13_q14.3_001_rs1924370,chr13,50928367,50928487,FLAG,12,10.0,3,10.0,3,0.0,0.0
chr13_q14.3_002_rs7997464,chr13,51171651,51171771,FLAG,32,29.0,11,29.0,11,0.0,0.056
chr13_q14.3_003_rs9568476,chr13,51390782,51390902,FLAG,20,20.0,14,20.0,13,0.0,0.1
chr13_q14.3_004_rs7982414,chr13,51614487,51614607,FLAG,36,33.0,21,33.0,21,0.0,0.069
chr13_q14.3_005_rs7325958,chr13,51870901,51871021,FLAG,30,27.0,13,27.0,12,0.0,0.1
chr13_q14.3_006_rs7997510,chr13,52023473,52023593,FLAG,25,23.0,16,23.0,16,0.0,0.19
chr13_q14.3_007_rs111679086,chr13,52546487,52546607,FLAG,29,26.0,6,25.0,5,0.0,0.167
chr13_q14.3_008_rs7981050,chr13,52755089,52755209,FLAG,10,10.0,5,9.0,5,0.0,0.2
chr13_q14.3_009_rs8001624,chr13,53002935,53003055,FLAG,8,8.0,4,8.0,4,0.0,0.143
chr13_q14.3_010_rs528482735,chr13,53267191,53267311,FLAG,3,3.0,1,3.0,1,0.0,0.5
chr13_q14.3_011_rs997687,chr13,53524043,53524163,FLAG,44,37.0,18,37.0,17,0.0,0.056
chr13_q14.3_012_rs7986263,chr13,53672887,53673007,FLAG,19,18.0,5,18.0,5,0.0,0.083
chr13_q14.3_013_rs5803650,chr13,53939538,53939658,FLAG,29,25.0,17,25.0,16,0.0,0.12
chr13_q14.3_014_rs9316633,chr13,54175354,54175474,FLAG,22,20.0,5,20.0,5,0.0,0.105
chr13_q14.3_015_rs1419186,chr13,54444796,54444916,FLAG,26,23.0,9,23.0,9,0.0,0.091
chr13_q14.3_016_rs9563200,chr13,54674968,54675088,FLAG,15,14.0,6,13.0,6,0.0,0.1
chr13_q14.3_017_rs34531816,chr13,54908816,54908936,FLAG,29,29.0,10,28.0,10,0.0,0.138
chr13_q14.3_018_rs9569054,chr13,55067273,55067393,FLAG,24,18.0,8,18.0,8,0.0,0.182
chr13_q21.1_001_rs1478671,chr13,55326184,55326304,FLAG,30,27.0,21,27.0,21,0.0,0.074
chr13_q21.1_002_rs9569183,chr13,55607450,55607570,FLAG,29,27.0,14,27.0,14,0.0,0.138
chr13_q21.1_003_rs9316771,chr13,55794364,55794484,FLAG,19,17.0,10,17.0,10,0.0,0.133
chr13_q21.1_004_rs7322356,chr13,55870229,55870349,FLAG,11,9.0,4,9.0,4,0.0,0.2
chr13_q21.1_005_rs75835710,chr13,56324374,56324494,FLAG,25,25.0,17,24.0,17,0.0,0.08
chr13_q21.1_006_rs67058305,chr13,56421124,56421244,FLAG,14,13.0,5,13.0,5,0.0,0.077
chr13_q21.1_007_rs9597337,chr13,56670683,56670803,FLAG,19,19.0,15,19.0,15,0.0,0.158
chr13_q21.1_008_rs1932431,chr13,56833289,56833409,FLAG,1,1.0,1,1.0,0,0.0,1.0
chr13_q21.1_009_rs7329610,chr13,57427304,57427424,FLAG,25,22.5,5,22.0,5,0.0,0.16
chr13_q21.1_010_rs34077742,chr13,57764088,57764208,FLAG,12,11.0,5,11.0,5,0.0,0.167
chr13_q21.1_011_rs9563508,chr13,58043855,58043975,FLAG,22,21.0,6,21.0,5,0.0,0.167
chr13_q21.1_012_rs4561330,chr13,58332404,58332524,FLAG,26,24.0,8,24.0,8,0.0,0.118
chr13_q21.1_013_rs9537841,chr13,58450370,58450490,FLAG,31,30.0,15,30.0,15,0.0,0.097
chr13_q21.1_014_rs11431854,chr13,58863250,58863370,FLAG,32,28.0,13,28.0,13,0.0,0.067
chr13_q21.1_015_rs2183490,chr13,59120777,59120897,FLAG,23,22.0,12,22.0,11,0.0,0.083
chr13_q21.1_016_rs1413115,chr13,59214244,59214364,FLAG,22,21.0,11,20.0,10,0.0,0.167
chr13_q21.1_017_rs1340562,chr13,59484753,59484873,FLAG,26,20.5,10,20.5,9,0.0,0.1
chr13_q21.2_001_rs9597949,chr13,59785655,59785775,FLAG,21,16.0,11,16.0,9,0.0,0.182
chr13_q21.2_002_rs12853955,chr13,59896474,59896594,FLAG,29,24.0,10,24.0,10,0.0,0.074
chr13_q21.2_003_rs9805622,chr13,60226142,60226262,FLAG,20,15.0,10,15.0,9,0.0,0.154
chr13_q21.2_004_rs34390052,chr13,60240431,60240551,FLAG,26,22.0,7,22.0,7,0.0,0.2
chr13_q21.2_005_rs59437406,chr13,60787658,60787778,FLAG,36,34.5,17,34.0,16,0.0,0.059
chr13_q21.2_006_rs10632622,chr13,60882697,60882817,FLAG,20,20.0,12,20.0,12,0.0,0.05
chr13_q21.2_007_rs728085,chr13,61168352,61168472,FLAG,36,29.0,15,29.0,14,0.0,0.069
chr13_q21.2_008_rs142219460,chr13,61298249,61298369,FLAG,26,25.0,21,25.0,20,0.0,0.087
chr13_q21.2_009_rs8002187,chr13,61602265,61602385,FLAG,25,20.5,7,20.0,6,0.0,0.143
chr13_q21.2_010_rs3127285,chr13,61778739,61778859,FLAG,20,16.0,8,15.5,8,0.0,0.091
chr13_q21.2_011_rs4886336,chr13,62041045,62041165,FLAG,8,8.0,4,8.0,4,0.0,0.143
chr13_q21.2_012_rs71199068,chr13,62057553,62057673,FLAG,16,14.0,7,14.0,6,0.0,0.143
chr13_q21.31_001_rs308586,chr13,62661288,62661408,FLAG,16,15.0,9,15.0,9,0.0,0.067
chr13_q21.31_002_rs308578,chr13,62733604,62733724,FLAG,13,12.0,4,12.0,4,0.0,0.167
chr13_q21.31_003_rs11402771,chr13,62956945,62957065,FLAG,16,16.0,11,16.0,11,0.0,0.125
chr13_q21.31_004_rs2649156,chr13,63238796,63238916,FLAG,18,17.0,12,17.0,12,0.0,0.067
chr13_q21.31_005_rs67235147,chr13,63609575,63609695,FLAG,24,22.0,9,22.0,7,0.0,0.222
chr13_q21.31_006_rs602029,chr13,64021235,64021355,FLAG,7,7.0,5,7.0,4,0.0,0.2
chr13_q21.31_007_rs587594,chr13,64022137,64022257,FLAG,1,1.0,1,1.0,0,0.0,1.0
chr13_q21.31_008_rs35280447,chr13,64488507,64488627,FLAG,20,18.0,3,18.0,2,0.0,0.333
chr13_q21.31_009_rs9539896,chr13,64589598,64589718,FLAG,18,17.0,10,17.0,9,0.0,0.182
chr13_q21.31_010_rs2324560,chr13,64812452,64812572,FLAG,16,15.0,9,15.0,9,0.0,0.077
chr13_q21.31_011_rs556737607,chr13,65075909,65076029,FLAG,4,4.0,2,4.0,1,0.0,0.5
chr13_q21.31_012_rs35136007,chr13,65275477,65275597,FLAG,26,24.0,14,24.0,12,0.0,0.25
chr13_q21.31_013_rs4562950,chr13,65671621,65671741,FLAG,8,8.0,3,8.0,3,0.0,0.167
chr13_q21.32_001_rs7995814,chr13,65744832,65744952,FLAG,11,11.0,3,11.0,3,0.0,0.167
chr13_q21.32_002_rs2067739,chr13,66068690,66068810,FLAG,13,13.0,9,13.0,7,0.0,0.3
chr13_q21.32_003_rs7327526,chr13,66083476,66083596,FLAG,9,7.0,1,7.0,1,0.0,0.286
chr13_q21.32_004_rs975288,chr13,66459727,66459847,FLAG,12,11.0,8,11.0,7,0.0,0.167
chr13_q21.32_005_rs7995375,chr13,66933352,66933472,FLAG,15,14.0,6,14.0,6,0.0,0.071
chr13_q21.32_006_rs9571596,chr13,67128497,67128617,FLAG,4,4.0,4,4.0,3,0.0,0.25
chr13_q21.32_007_rs9540914,chr13,67359498,67359618,FLAG,8,8.0,4,8.0,4,0.0,0.167
chr13_q21.32_008_rs35934997,chr13,67566974,67567094,FLAG,36,31.0,18,29.0,16,0.0,0.324
chr13_q21.32_009_rs4619277,chr13,67837228,67837348,FLAG,11,9.0,4,9.0,3,0.0,0.25
chr13_q21.32_010_rs11394884,chr13,68268575,68268695,FLAG,32,27.0,10,26.5,10,0.0,0.1
chr13_q21.32_011_rs2175815,chr13,68518771,68518891,FLAG,30,27.5,7,26.5,7,0.0,0.067
chr13_q21.33_001_rs1343616,chr13,68757197,68757317,FLAG,15,12.0,4,12.0,4,0.0,0.091
chr13_q21.33_002_rs5804379,chr13,68947276,68947396,FLAG,11,10.0,8,10.0,8,0.0,0.182
chr13_q21.33_003_rs530130779,chr13,69234013,69234133,FLAG,21,19.0,13,19.0,12,0.0,0.095
chr13_q21.33_004_rs7997369,chr13,69449371,69449491,FLAG,21,17.0,10,17.0,10,0.0,0.167
chr13_q21.33_005_rs2593501,chr13,69908484,69908604,FLAG,13,12.0,6,12.0,6,0.0,0.111
chr13_q21.33_006_rs9317826,chr13,70154059,70154179,FLAG,9,7.0,4,7.0,4,0.0,0.111
chr13_q21.33_007_rs11838650,chr13,70608250,70608370,FLAG,13,13.0,8,13.0,8,0.0,0.1
chr13_q21.33_008_rs4418949,chr13,70821324,70821444,FLAG,22,21.0,9,21.0,9,0.0,0.0
chr13_q21.33_009_rs9542380,chr13,71133563,71133683,FLAG,14,14.0,10,14.0,10,0.0,0.091
chr13_q21.33_010_rs1373090,chr13,71299646,71299766,FLAG,13,12.0,5,12.0,5,0.0,0.167
chr13_q21.33_011_rs9572603,chr13,71533921,71534041,FLAG,19,18.5,11,18.0,11,0.0,0.143
chr13_q21.33_012_rs34018701,chr13,71786848,71786968,FLAG,14,14.0,7,13.0,7,0.0,0.143
chr13_q21.33_013_rs34705178,chr13,71971904,71972024,FLAG,40,36.0,15,35.0,14,0.0,0.15
chr13_q21.33_014_rs7981995,chr13,72332690,72332810,FLAG,9,9.0,2,9.0,2,0.0,0.111
chr13_q21.33_015_rs1408889,chr13,72400199,72400319,FLAG,13,13.0,9,13.0,8,0.0,0.167
chr13_q21.33_016_rs1409573,chr13,72672333,72672453,FLAG,0,0.0,0,0.0,0,.,.
chr13_q21.33_017_rs491183,chr13,72909114,72909234,FLAG,53,45.0,27,44.0,27,0.0,0.118
chr13_q21.33_018_rs1556817,chr13,73153916,73154036,FLAG,32,29.0,6,28.5,6,0.0,0.19
chr13_q22.1_001_rs2281847,chr13,73320395,73320515,FLAG,10,10.0,7,10.0,6,0.0,0.143
chr13_q22.1_002_rs9573096,chr13,73649273,73649393,FLAG,27,26.0,14,26.0,14,0.0,0.063
chr13_q22.1_003_rs9573149,chr13,73846386,73846506,FLAG,22,22.0,10,21.0,10,0.0,0.133
chr13_q22.1_004_rs112528224,chr13,73996758,73996878,FLAG,20,19.0,9,19.0,9,0.0,0.176
chr13_q22.1_005_rs9530238,chr13,74346499,74346619,FLAG,16,16.0,12,15.0,11,0.0,0.083
chr13_q22.1_006_rs2325572,chr13,74512260,74512380,FLAG,32,29.0,16,29.0,15,0.0,0.063
chr13_q22.1_007_rs7325385,chr13,75147143,75147263,FLAG,38,34.5,22,34.0,21,0.0,0.057
chr13_q22.1_008_rs7139706,chr13,75221541,75221661,FLAG,13,13.0,8,13.0,8,0.0,0.083
chr13_q22.2_001_rs9600405,chr13,75489180,75489300,FLAG,11,9.0,5,9.0,5,0.0,0.0
chr13_q22.2_002_rs1409252,chr13,75702596,75702716,FLAG,35,33.0,25,33.0,24,0.0,0.04
chr13_q22.2_003_rs551891,chr13,75927399,75927519,FLAG,17,15.0,9,15.0,9,0.0,0.125
chr13_q22.2_004_rs6562912,chr13,76150871,76150991,FLAG,20,18.0,12,18.0,10,0.0,0.167
chr13_q22.2_005_rs142477263,chr13,76413803,76413923,FLAG,20,19.0,8,18.0,6,0.0,0.263
chr13_q22.2_006_rs16932,chr13,76625803,76625923,FLAG,21,19.0,6,19.0,6,0.0,0.15
chr13_q22.2_007_rs61963393,chr13,76855943,76856063,FLAG,15,15.0,3,15.0,3,0.0,0.2
chr13_q22.2_008_rs1146905,chr13,77094674,77094794,FLAG,6,6.0,3,6.0,3,0.0,0.25
chr13_q22.3_001_rs9573927,chr13,77320216,77320336,FLAG,35,33.0,8,33.0,8,0.0,0.086
chr13_q22.3_002_rs34909297,chr13,77564734,77564854,FLAG,49,40.0,16,39.0,15,0.0,0.064
chr13_q22.3_003_rs549452634;rs549452634;rs528740455,chr13,77835460,77835580,FLAG,10,9.5,4,9.0,4,0.0,0.111
chr13_q22.3_004_rs1927404,chr13,77947147,77947267,FLAG,20,18.0,10,18.0,10,0.0,0.111
chr13_q22.3_005_rs5804928,chr13,78314603,78314723,FLAG,23,21.0,14,21.0,12,0.0,0.143
chr13_q22.3_006_rs5351,chr13,78475253,78475373,FLAG,24,21.0,6,21.0,6,0.0,0.077
chr13_q22.3_007_rs9530733,chr13,78709555,78709675,FLAG,21,21.0,8,21.0,8,0.0,0.15
chr13_q31.1_001_rs2765068,chr13,79191920,79192040,FLAG,15,14.0,11,13.0,11,0.0,0.133
chr13_q31.1_002_rs11149112,chr13,79392054,79392174,FLAG,21,20.0,6,20.0,5,0.0,0.2
chr13_q31.1_003_rs7988279,chr13,79630519,79630639,FLAG,25,21.0,12,21.0,12,0.0,0.12
chr13_q31.1_004_rs371456582,chr13,79887948,79888068,FLAG,25,24.0,9,22.0,8,0.0,0.125
chr13_q31.1_005_rs2329128,chr13,80257555,80257675,FLAG,6,5.0,5,5.0,4,0.0,0.2
chr13_q31.1_006_rs1414116,chr13,80318575,80318695,FLAG,32,29.0,14,29.0,14,0.0,0.111
chr13_q31.1_007_rs9545302,chr13,80602051,80602171,FLAG,19,19.0,5,19.0,5,0.0,0.111
chr13_q31.1_008_rs9601332,chr13,80779153,80779273,FLAG,6,6.0,4,6.0,3,0.0,0.333
chr13_q31.1_009_rs9531061,chr13,81022807,81022927,FLAG,20,16.0,7,16.0,7,0.0,0.071
chr13_q31.1_010_rs822176,chr13,81260419,81260539,FLAG,17,16.0,9,16.0,8,0.0,0.111
chr13_q31.1_011_rs57005716,chr13,81464365,81464485,FLAG,12,12.0,5,12.0,5,0.0,0.125
chr13_q31.1_012_rs4520729,chr13,81689259,81689379,FLAG,13,12.0,7,11.5,6,0.0,0.143
chr13_q31.1_013_rs1034144,chr13,81948990,81949110,FLAG,7,7.0,4,7.0,4,0.0,0.143
chr13_q31.1_014_rs377696165,chr13,82168038,82168158,FLAG,27,25.0,4,25.0,4,0.0,0.167
chr13_q31.1_015_rs7983253,chr13,82410937,82411057,FLAG,35,32.0,26,31.5,25,0.0,0.097
chr13_q31.1_016_rs72220902,chr13,82641330,82641450,FLAG,25,19.0,13,19.0,13,0.0,0.053
chr13_q31.1_017_rs9546160,chr13,83106383,83106503,FLAG,0,0.0,0,0.0,0,.,.
chr13_q31.1_018_rs12585202,chr13,83337378,83337498,FLAG,13,13.0,9,13.0,9,0.0,0.182
chr13_q31.1_019_rs201255265,chr13,83574739,83574859,FLAG,4,4.0,3,4.0,3,0.0,0.25
chr13_q31.1_020_rs2819229,chr13,83810976,83811096,FLAG,12,11.0,4,11.0,4,0.0,0.125
chr13_q31.1_021_rs9575345,chr13,84147875,84147995,FLAG,4,4.0,1,4.0,0,0.0,1.0
chr13_q31.1_022_rs9546474,chr13,84250902,84251022,FLAG,21,20.0,13,20.0,12,0.0,0.143
chr13_q31.1_023_rs4349034,chr13,84597059,84597179,FLAG,12,12.0,6,12.0,6,0.0,0.125
chr13_q31.1_024_rs944280,chr13,84733587,84733707,FLAG,20,20.0,7,20.0,6,0.0,0.2
chr13_q31.1_025_rs7319107,chr13,84982617,84982737,FLAG,19,15.0,8,15.0,8,0.0,0.133
chr13_q31.1_026_rs4405445,chr13,85218246,85218366,FLAG,10,10.0,3,10.0,3,0.0,0.0
chr13_q31.1_027_rs1358045,chr13,85418967,85419087,FLAG,18,16.5,13,16.0,12,0.0,0.133
chr13_q31.1_028_rs532488492;rs36020917,chr13,85593426,85593546,FLAG,33,29.0,12,29.0,12,0.0,0.125
chr13_q31.1_029_rs67308165,chr13,85896891,85897011,FLAG,11,11.0,4,11.0,4,0.0,0.091
chr13_q31.1_030_rs59304301,chr13,86019468,86019588,FLAG,12,11.0,7,11.0,7,0.0,0.222
chr13_q31.1_031_rs12430903,chr13,86304788,86304908,FLAG,14,14.0,7,14.0,7,0.0,0.111
chr13_q31.1_032_rs7988275,chr13,86599900,86600020,FLAG,17,17.0,12,16.0,12,0.0,0.176
chr13_q31.1_033_rs9576032,chr13,86746257,86746377,FLAG,34,30.0,14,30.0,14,0.0,0.167
chr13_q31.1_034_rs9556641,chr13,87016910,87017030,FLAG,4,4.0,4,4.0,3,0.0,0.25
chr13_q31.1_035_rs9515544,chr13,87207699,87207819,FLAG,5,5.0,0,5.0,0,.,.
chr13_q31.1_036_rs7981666,chr13,87510320,87510440,FLAG,18,17.0,5,17.0,5,0.0,0.133
chr13_q31.2_001_rs6492715,chr13,87740456,87740576,FLAG,23,20.0,6,20.0,6,0.0,0.176
chr13_q31.2_002_rs7999126,chr13,87971276,87971396,FLAG,25,22.0,9,22.0,9,0.0,0.15
chr13_q31.2_003_rs9514060,chr13,88567607,88567727,FLAG,13,13.0,10,13.0,10,0.0,0.154
chr13_q31.2_004_rs1333812,chr13,88716009,88716129,FLAG,15,15.0,8,15.0,8,0.0,0.071
chr13_q31.2_005_rs34492979,chr13,88903994,88904114,FLAG,8,7.0,3,7.0,3,0.0,0.167
